motor_timestamp,motor_position,arduino_timestamp,arduino_position
1739940630.39582,-0.083720326423645,1739940638.15939,240.28
1739940630.40589,-0.083720326423645,1739940638.20993,240.28
1739940630.41596,-0.083720326423645,1739940638.26044,240.28
1739940630.42606,-0.083720326423645,1739940638.31109,240.28
1739940630.43618,-0.083720326423645,1739940638.36167,240.28
1739940630.44628,-0.083720326423645,1739940638.41271,240.28
1739940630.45637,-0.083720326423645,1739940638.46322,240.28
1739940630.46645,-0.083720326423645,1739940638.51373,240.28
1739940630.47656,-0.083720326423645,1739940638.56424,240.28
1739940630.48669,-0.083720326423645,1739940638.61487,240.28
1739940630.49678,-0.083720326423645,1739940638.66547,240.28
1739940630.50688,-0.083720326423645,1739940638.716,240.28
1739940630.51696,-0.083720326423645,1739940638.76658,240.28
1739940630.52706,-0.083720326423645,1739940638.79705,2
1739940630.53716,-0.083720326423645,1739940638.81727,40.28
1739940630.54726,-0.083720326423645,1739940638.84874,240.28
1739940630.55735,-0.083720326423645,1739940638.90836,240.28
1739940630.56745,-0.083720326423645,1739940638.95918,240.28
1739940630.57804,-0.083720326423645,1739940639.01165,240.28
1739940630.58816,-0.083720326423645,1739940639.06689,240.295
1739940630.59827,-0.083720326423645,1739940639.09901,240.305
1739940630.60839,-0.083720326423645,1739940639.15182,238.89
1739940630.61847,-0.083720326423645,1739940639.2118,237.675
1739940630.62857,-0.083720326423645,1739940639.26273,236.06
1739940630.63866,-0.083720326423645,1739940639.31529,233.7
1739940630.64876,-0.083720326423645,1739940639.37182,231.51
1739940630.65886,-0.083720326423645,1739940639.40269,228.22
1739940630.66894,-0.083720326423645,1739940639.45453,224.645
1739940630.67902,-0.083720326423645,1739940639.51202,221.32
1739940630.68913,-0.083720326423645,1739940639.56318,217.765
1739940630.69922,-0.083720326423645,1739940639.61857,213.745
1739940630.70934,-0.083720326423645,1739940639.67189,210.13
1739940630.71943,-0.083720326423645,1739940639.7229,206.285
1739940630.72953,-0.083720326423645,1739940639.75508,202.52
1739940630.73963,-0.083720326423645,1739940639.77532,5
1739940630.74974,-0.083720326423645,1739940639.80943,198.3
1739940630.75985,-0.083720326423645,1739940639.83184,35
1739940630.76993,-0.083720326423645,1739940639.86366,194.2
1739940630.78006,-0.083720326423645,1739940639.92262,190.16
1739940630.79019,-0.083720326423645,1739940639.96162,185
1739940630.80031,-0.083720326423645,1739940639.98178,725
1739940630.81041,-0.083720326423645,1739940640.0128,181.29
1739940630.82051,-0.083720326423645,1739940640.03288,5
1739940630.83062,-0.083720326423645,1739940640.06355,176.89
1739940630.84072,-0.083720326423645,1739940640.12269,172.355
1739940630.85081,-0.083720326423645,1739940640.17468,167.69
1739940630.86092,-0.083720326423645,1739940640.2128,163.06
1739940630.87101,-0.083720326423645,1739940640.23296,5
1739940630.8811,-0.083720326423645,1739940640.26509,158.62
1739940630.89119,-0.083720326423645,1739940640.32366,154.015
1739940630.90126,-0.083720326423645,1739940640.36292,149
1739940630.91137,-0.083720326423645,1739940640.38321,380
1739940630.92148,-0.083720326423645,1739940640.41816,144.485
1739940630.93162,-0.083720326423645,1739940640.47497,139.655
1739940630.94181,-0.083720326423645,1739940640.51362,134.71
1739940630.95194,-0.083720326423645,1739940640.57509,129.82
1739940630.96204,-0.083720326423645,1739940640.6136,124.75
1739940630.97214,-0.083720326423645,1739940640.67529,119.68
1739940630.98225,-0.083720326423645,1739940640.713,11
1739940630.99243,-0.083720326423645,1739940640.73315,4.6
1739940631.00254,-0.083720326423645,1739940640.76835,109.46
1739940631.01265,-0.083720326423645,1739940640.82389,104.525
1739940631.02274,-0.083720326423645,1739940640.87482,99.34
1739940631.03284,-0.083720326423645,1739940640.92586,94.215
1739940631.04295,-0.083720326423645,1739940640.97823,89.34
1739940631.05305,-0.083720326423645,1739940641.03507,84.065
1739940631.06315,-0.083720326423645,1739940641.07348,78.935
1739940631.07323,-0.083720326423645,1739940641.13365,73.755
1739940631.08339,-0.083720326423645,1739940641.17181,68
1739940631.09349,-0.083720326423645,1739940641.19237,0.79
1739940631.1036,-0.083720326423645,1739940641.22388,63.67
1739940631.11373,-0.083720326423645,1739940641.28317,58.585
1739940631.12383,-0.083720326423645,1739940641.33505,53.43
1739940631.13396,-0.083720326423645,1739940641.3718,4
1739940631.1441,-0.083720326423645,1739940641.39194,8.135
1739940631.15423,-0.083720326423645,1739940641.42531,42.905
1739940631.16438,-0.083720326423645,1739940641.47958,37.81
1739940631.1745,-0.083720326423645,1739940641.53195,32.4
1739940631.18483,-0.083720326423645,1739940641.58272,27.055
1739940631.19494,-0.083720326423645,1739940641.6334,21.64
1739940631.20504,-0.0835200548171997,1739940641.68418,16.525
1739940631.21513,-0.0835353136062622,1739940641.73519,11.205
1739940631.22522,-0.0835353136062622,1739940641.78756,5.88
1739940631.23538,-0.0835353136062622,1739940641.84242,0.785
1739940631.24547,-0.0835353136062622,1739940641.87314,-4.36
1739940631.25555,-0.0832911729812622,1739940641.93436,-9.77
1739940631.26571,-0.0832911729812622,1739940641.99173,-15.185
1739940631.27583,-0.0830317735671997,1739940642.02866,-20.495
1739940631.28599,-0.0825453996658325,1739940642.08181,-25.775
1739940631.2961,-0.0821353197097778,1739940642.14174,-31.205
1739940631.3062,-0.0813151597976685,1739940642.19458,-36.6
1739940631.31631,-0.0805484056472778,1739940642.22861,-42
1739940631.32641,-0.0789309740066528,1739940642.24882,0.04
1739940631.33664,-0.0777846574783325,1739940642.28291,-47.295
1739940631.34686,-0.0777846574783325,1739940642.33521,-52.625
1739940631.35698,-0.0764590501785278,1739940642.39266,-55.005
1739940631.36707,-0.0748759508132935,1739940642.44319,-53.98
1739940631.37719,-0.0727320909500122,1739940642.49362,-54.055
1739940631.3873,-0.0697871446609497,1739940642.54409,-54.055
1739940631.39741,-0.0660048723220825,1739940642.59456,-54.055
1739940631.40753,-0.0558463335037231,1739940642.646,-54.055
1739940631.41766,-0.0492144823074341,1739940642.69652,-54.055
1739940631.42795,-0.0492144823074341,1739940642.747,-54.055
1739940631.43807,-0.0424929857254028,1739940642.79756,-54.055
1739940631.44819,-0.0368586778640747,1739940642.84816,-54.055
1739940631.4583,-0.0310794115066528,1739940642.87945,-54.055
1739940631.46839,-0.0163871049880981,1739940642.93922,-54.055
1739940631.47849,-0.0112067461013794,1739940642.98986,-54.055
1739940631.48859,-0.00796425342559815,1739940643.04036,-54.055
1739940631.49867,-0.00522339344024658,1739940643.09079,-54.055
1739940631.50875,-0.00522339344024658,1739940643.14134,-54.055
1739940631.51881,-0.00145256519317627,1739940643.19199,-54.055
1739940631.52888,0.00447356700897217,1739940643.2438,-54.055
1739940631.53896,0.0193527936935425,1739940643.29428,-54.055
1739940631.54905,0.0283344984054565,1739940643.34616,-54.055
1739940631.55913,0.0368050336837769,1739940643.39668,-54.055
1739940631.56929,0.0368050336837769,1739940643.44717,-54.055
1739940631.5794,0.0459221601486206,1739940643.49777,-54.055
1739940631.5895,0.0560559034347534,1739940643.54836,-54.055
1739940631.5996,0.0639675855636597,1739940643.59894,-54.055
1739940631.60974,0.0754250288009644,1739940643.64982,-54.055
1739940631.61986,0.0825241804122925,1739940643.70037,-54.055
1739940631.62996,0.0918644666671753,1739940643.75096,-54.055
1739940631.64008,0.101731181144714,1739940643.80153,-54.055
1739940631.65017,0.101731181144714,1739940643.83201,
1739940631.66027,0.111245036125183,1739940643.8525,54.055
1739940631.67037,0.12213408946991,1739940643.88299,-54.055
1739940631.68045,0.141810297966003,1739940643.94306,-54.055
1739940631.69054,0.150025248527527,1739940643.99355,-54.055
1739940631.70063,0.159327387809753,1739940644.04406,-54.055
1739940631.71073,0.170163035392761,1739940644.09453,-54.055
1739940631.72083,0.180674433708191,1739940644.14501,-54.055
1739940631.73095,0.191279292106628,1739940644.19555,-54.055
1739940631.74111,0.191279292106628,1739940644.24608,-54.055
1739940631.75121,0.203431010246277,1739940644.29659,-54.055
1739940631.76134,0.221464991569519,1739940644.34717,-54.055
1739940631.77147,0.230820536613464,1739940644.3978,-54.055
1739940631.78159,0.240986704826355,1739940644.44833,-54.055
1739940631.7917,0.251351237297058,1739940644.49893,-54.055
1739940631.8018,0.262095332145691,1739940644.54959,-54.055
1739940631.81191,0.273571848869324,1739940644.60017,-54.055
1739940631.82201,0.282946467399597,1739940644.65076,-54.055
1739940631.83212,0.282946467399597,1739940644.70126,-54.055
1739940631.84222,0.30162513256073,1739940644.75192,-54.055
1739940631.85233,0.312758326530457,1739940644.80247,-54.055
1739940631.86244,0.323372721672058,1739940644.85308,-54.055
1739940631.87254,0.333859324455261,1739940644.90352,-54.055
1739940631.88265,0.345606684684753,1739940644.95415,-54.055
1739940631.89276,0.354203104972839,1739940645.00472,-54.055
1739940631.90286,0.362316966056824,1739940645.05529,-54.055
1739940631.91297,0.371569514274597,1739940645.10577,-54.055
1739940631.92306,0.383017420768738,1739940645.15626,-54.055
1739940631.93316,0.383017420768738,1739940645.20687,-54.055
1739940631.94326,0.405091166496277,1739940645.23732,
1739940631.95336,0.416794657707214,1739940645.25792,54.055
1739940631.96347,0.425713419914246,1739940645.28846,-54.055
1739940631.97356,0.43303382396698,1739940645.34836,-54.055
1739940631.98365,0.442265391349793,1739940645.39896,-54.055
1739940631.99375,0.453322291374207,1739940645.44958,-54.055
1739940632.00385,0.464852213859558,1739940645.5,-54.055
1739940632.01394,0.476305842399597,1739940645.5504,-54.055
1739940632.02401,0.488116145133972,1739940645.60159,-54.055
1739940632.03428,0.504469752311707,1739940645.65203,-54.035
1739940632.04444,0.504469752311707,1739940645.70255,-53.275
1739940632.05458,0.513605952262878,1739940645.75302,-51.385
1739940632.06471,0.523392558097839,1739940645.80343,-50.535
1739940632.07481,0.534628748893738,1739940645.85383,-48.1
