leg_length_1,leg_length_2,leg_length_3,leg_length_4,leg_length_5,leg_length_6,meas_pos_x,meas_pos_y,meas_pos_z,meas_ori_x,meas_ori_y,meas_ori_z,meas_ori_w,cmd_pos_x,cmd_pos_y,cmd_pos_z,cmd_ori_x,cmd_ori_y,cmd_ori_z,cmd_ori_w
2.507939,1.7095027,3.0310242,3.3931794,1.4850516,2.0818348,-140.0621795654297,139.53639221191406,164.38005371093755,8.765829598361474e-05,0.0034151437488666183,0.011246507670536096,0.9999309232814894,-140.0,140.0,165.0,0.0,0.0,0.0,1.0
2.768008,1.8584876,3.1630242,3.6349626,1.3947787,1.9956074,-139.94253540039062,179.8543701171875,164.36882324218755,0.00029010644273724193,0.0034141645898895707,0.011021293484758115,0.9999333895909902,-140.0,180.0,165.0,0.0,0.0,0.0,1.0
1.3649948,1.689054,2.6406262,2.069264,3.1143832,3.495594,-100.39251708984375,-179.37413024902344,164.37980957031255,-0.0006818264015754022,0.00036368026402748885,0.008011537244293005,0.9999676118016475,-100.0,-180.0,165.0,0.0,0.0,0.0,1.0
1.4148586,1.60568,2.5596783,2.1177297,2.83344,3.2293587,-100.31232452392578,-140.00839233398438,164.1995727539063,-0.0005629425047378704,0.0007466136262237211,0.009618201972388354,0.9999533061212399,-100.0,-140.0,165.0,0.0,0.0,0.0,1.0
1.4969528,1.5492835,2.506471,2.2022557,2.571233,2.9776573,-100.57061004638672,-99.79902648925781,164.1735717773438,-0.0004123764083567224,0.0009136104638937183,0.010887744687397564,0.9999402222051785,-100.0,-100.0,165.0,0.0,0.0,0.0,1.0
1.6124313,1.5256019,2.4806511,2.3060842,2.3272145,2.7375374,-99.82149505615234,-59.60470962524414,164.34331054687505,-0.00015299047086237517,0.0013181470112277238,0.010520482080352087,0.9999437763382656,-100.0,-60.0,165.0,0.0,0.0,0.0,1.0
1.7507961,1.5288386,2.4868767,2.4380593,2.1087677,2.53051,-100.28547668457031,-20.04826545715332,164.33012695312505,-9.058396809359927e-05,0.0018915341358211343,0.010773015202033177,0.9999401774990215,-100.0,-20.0,165.0,0.0,0.0,0.0,1.0
1.9148586,1.5602107,2.5216668,2.5936837,1.9064972,2.3360481,-100.65402221679688,19.76901626586914,164.24748535156255,-0.00043950850653993486,0.002405061916302439,0.010383311097346184,0.9999430982970794,-100.0,20.0,165.0,0.0,0.0,0.0,1.0
2.1020553,1.6291175,2.572326,2.7776647,1.7375863,2.170765,-100.07939147949219,59.903099060058594,164.35051269531255,-0.0001517811322453646,0.0022164362368027723,0.011722658777746742,0.9999288146192977,-100.0,60.0,165.0,0.0,0.0,0.0,1.0
2.317685,1.7232203,2.659303,2.9749665,1.591655,2.0298958,-100.09000396728516,99.75313568115234,164.39067382812505,-0.0004066388059868362,0.0027343011323038243,0.010844609899821559,0.9999373759091945,-100.0,100.0,165.0,0.0,0.0,0.0,1.0
2.5506008,1.840055,2.7698033,3.2052865,1.4721711,1.9145983,-100.59843444824219,140.30563354492188,164.26250000000005,5.7238835102064625e-05,0.00281631142157843,0.01126426121198389,0.9999325848743594,-100.0,140.0,165.0,0.0,0.0,0.0,1.0
2.8068264,1.9809241,2.9002697,3.4466462,1.3834889,1.8322638,-100.74211120605469,179.39625549316406,164.25541992187505,0.0003392660824842386,0.003581455897141761,0.011410789031253733,0.9999284271614504,-100.0,180.0,165.0,0.0,0.0,0.0,1.0
1.442265,1.8418859,2.3892205,1.8885119,3.1351979,3.3738267,-60.59778594970703,-178.67669677734375,164.5239135742188,0.00019753677435108765,-0.0005136481572418523,0.007089899394085978,0.9999747124097229,-60.0,-180.0,165.0,0.0,0.0,0.0,1.0
1.4935918,1.7605871,2.3106434,1.9360259,2.8550463,3.1009405,-60.322845458984375,-139.7578125,164.1985961914063,0.0003499212483014517,-0.00024982798027226336,0.008167537164089581,0.9999665612352056,-60.0,-140.0,165.0,0.0,0.0,0.0,1.0
1.5789838,1.7130426,2.251588,2.014517,2.5933867,2.84679,-59.35477828979492,-99.57948303222656,164.35063476562505,0.00047183030509212383,0.000188792422506323,0.010213753709285922,0.9999477030073025,-60.0,-100.0,165.0,0.0,0.0,0.0,1.0
1.6872354,1.6871008,2.2298596,2.120455,2.3506517,2.6146715,-59.71793746948242,-60.00558853149414,164.35356445312505,0.0004204913592774917,0.0008082970564027668,0.011031411238323604,0.9999387394499046,-60.0,-60.0,165.0,0.0,0.0,0.0,1.0
1.8229394,1.6908258,2.235534,2.250664,2.127078,2.3937242,-59.63028335571289,-19.81106948852539,164.2520629882813,0.0003659652053897145,0.001278358997637939,0.01042691622093012,0.9999447524187262,-60.0,-20.0,165.0,0.0,0.0,0.0,1.0
1.9925885,1.7273458,2.264003,2.4108202,1.9287138,2.200609,-59.48655700683594,20.013647079467773,164.31132812500005,0.0003534787114329317,0.0021646084329246316,0.010608301738040166,0.9999413324074367,-60.0,20.0,165.0,0.0,0.0,0.0,1.0
2.1758447,1.7868322,2.3282483,2.5982573,1.7575712,2.0354478,-60.41779327392578,59.763973236083984,164.35014648437505,-7.761581545562663e-05,0.002063762666065011,0.01047455610456146,0.9999430088850205,-60.0,60.0,165.0,0.0,0.0,0.0,1.0
2.390078,1.881925,2.4135754,2.801121,1.6124296,1.8929937,-60.16551971435547,99.73172760009766,164.4012329101563,-0.00017416963806848981,0.0027195986073883065,0.010284345109732158,0.9999434037882202,-60.0,100.0,165.0,0.0,0.0,0.0,1.0
2.6168847,1.9901154,2.5263684,3.0347807,1.4904222,1.7783697,-61.071231842041016,140.2310028076172,164.1130249023438,0.00024127463316948416,0.002845930919934485,0.010777310707569095,0.9999378453250587,-60.0,140.0,165.0,0.0,0.0,0.0,1.0
2.8757367,2.1384575,2.6636975,3.2813628,1.4046412,1.6946294,-60.79231643676758,179.28851318359375,164.56364746093755,-7.935641565484478e-05,0.0032922480757181364,0.011179654624405068,0.9999320856516797,-60.0,180.0,165.0,0.0,0.0,0.0,1.0
