leg_length_1,leg_length_2,leg_length_3,leg_length_4,leg_length_5,leg_length_6,position_x,position_y,position_z,orientation_x,orientation_y,orientation_z,orientation_w
2.9290009,2.9067824,1.9197121,2.4486637,2.1085284,1.8260211,98.98316192626953,87.55126953125,754.5770263671875,0.0025294389603929502,0.0011770944404439366,0.015022077408437272,0.9998832723917013
2.7187328,2.2616408,1.3264122,3.2690353,3.0852606,1.6216353,97.70977783203125,88.04082489013672,755.3862915039062,0.12112651227234113,-0.11823632848938705,-0.0030783802078718225,0.985565351387857
2.1960278,3.5621188,2.704193,2.6496506,2.1236022,0.98624027,100.33055114746094,90.1673812866211,755.0172729492188,-0.12372608855279564,-0.09436712249570117,0.023713320339596732,0.9875345009800689
3.498396,3.3806288,2.7886658,2.2395573,1.4825917,2.3982868,51.554054260253906,105.46392822265625,778.2387084960938,-0.0680761665733334,0.10663511669397467,0.011183130161044396,0.9919019723793185
3.4510326,3.424864,2.8436775,2.2431564,1.4850522,2.3374958,51.53559112548828,105.8849868774414,778.2493286132812,-0.07635145016906603,0.10057663331111867,0.009984230984832405,0.9919451169696234
2.7601776,2.6670723,2.2409363,3.5864487,2.9064388,1.7283132,51.47358703613281,107.64905548095703,778.5527954101562,0.051964454874462086,-0.10692983554274085,0.008105197349206715,0.9928746209598314
2.5679169,2.356367,2.2541199,1.9608077,0.47767058,1.2207829,5.493139743804932,148.8721923828125,709.0862426757812,-0.06675183264410986,0.07151112613917346,0.008693859771300057,0.9951657029773716
2.5274487,1.5802115,1.5466003,2.6093674,1.2727736,1.3670994,4.722172260284424,148.34674072265625,709.2603759765625,0.07124396887012602,0.004793868739974401,0.012397355477851629,0.9973703618528037
2.3378143,2.1563568,2.1095886,2.3353195,0.8783053,1.0345169,5.715446949005127,149.75677490234375,708.841552734375,-0.03442955168304654,0.010613569252628512,0.011925650869985024,0.9992796121036243
2.707199,1.3358592,1.872406,2.9396896,1.5771579,2.12479,-50.17336654663086,127.02159118652344,732.5852661132812,0.10901319874653462,0.028666426286669815,0.016895546065118814,0.9934832154849432
2.5366669,1.8685244,2.3660583,2.6963441,1.2226657,1.8034378,-49.563995361328125,128.488525390625,732.5916137695312,0.01215302449529718,0.03134535936953353,0.011674852993515181,0.999366537264646
2.5145721,1.5134715,2.0585117,2.990471,1.6078566,1.8506199,-49.58729553222656,128.58349609375,732.6142578125,0.07499238643645764,-0.0013008047312775902,0.012278258423909274,0.9971076666908422
2.4232635,2.134262,2.9928894,2.8655338,1.5445021,2.192476,-87.628173828125,90.413330078125,755.7640991210938,-0.027659978562342518,0.023837612847498267,0.01169577693309021,0.999264677720622
1.969221,2.0563183,3.000702,3.3689518,2.0496292,1.744785,-87.05325317382812,92.0768051147461,756.3761596679688,-0.01842149488880477,-0.0739643828150914,0.011418581115291707,0.9970253421457165
