Position X (mm),Position Y (mm),Commanded Tilt X (deg),Commanded Tilt Y (deg),Measured Tilt X (deg),Measured Tilt Y (deg),
-70.7106781186547,70.7106781186548,-5,6.12323399573677E-16,-5.23623038265393,0.00324707305019335,
-70.7106781186547,70.7106781186548,-3.53553390593274,-3.53553390593274,-3.71462410469035,-3.58928223291584,
-70.7106781186547,70.7106781186548,-9.18485099360515E-16,-5,0.0372070239690013,-5.25371075463215,
-70.7106781186547,70.7106781186548,3.53553390593274,-3.53553390593274,3.65720226815559,-3.77604970034502,
-70.7106781186547,70.7106781186548,10,0,10.6115480555799,-0.254931639652322,
-70.7106781186547,70.7106781186548,7.07106781186548,7.07106781186548,7.15085427390086,7.14436068808943,
-70.7106781186547,70.7106781186548,6.12323399573677E-16,10,-0.00673830642915492,10.2809568710095,
-70.7106781186547,70.7106781186548,-7.07106781186548,7.07106781186548,-7.3071531305119,7.2047848103556,
-70.7106781186547,70.7106781186548,-10,1.22464679914735E-15,-10.1800779713732,0.0581787227076755,
-70.7106781186547,70.7106781186548,-7.07106781186548,-7.07106781186548,-7.44997537426463,-7.19829122454417,
-70.7106781186547,70.7106781186548,-1.83697019872103E-15,-10,-0.0891357342246318,-10.4337646409839,
-70.7106781186547,70.7106781186548,7.07106781186547,-7.07106781186548,7.40903286320641,-7.3960448378099,
-100,1.22464679914735E-14,0,0,-0.0122314327082848,0.0691650286267881,
-100,1.22464679914735E-14,5,0,5.08542470568287,0.0197265586092887,
-100,1.22464679914735E-14,3.53553390593274,3.53553390593274,3.91538085746113,3.59028327941752,
-100,1.22464679914735E-14,3.06161699786838E-16,5,-0.0396972775473457,5.30415020445027,
-100,1.22464679914735E-14,-3.53553390593274,3.53553390593274,-3.73110343016689,3.7825441399301,
-100,1.22464679914735E-14,-5,6.12323399573677E-16,-5.25820310121386,0.233959964259021,
-100,1.22464679914735E-14,-3.53553390593274,-3.53553390593274,-3.74758296908683,-3.43547362988315,
-100,1.22464679914735E-14,-9.18485099360515E-16,-5,-0.100122093504597,-5.00102534496659,
-100,1.22464679914735E-14,3.53553390593274,-3.53553390593274,3.6846681663555,-3.62773427695231,
-100,1.22464679914735E-14,10,0,10.2984376698745,-0.0901367206953556,
-100,1.22464679914735E-14,7.07106781186548,7.07106781186548,7.27719740562047,7.28168932531536,
-100,1.22464679914735E-14,6.12323399573677E-16,10,0.0372070239690013,10.3578613859692,
-100,1.22464679914735E-14,-7.07106781186548,7.07106781186548,-7.27968765919881,7.46296425343479,
-100,1.22464679914735E-14,-10,1.22464679914735E-15,-10.5096678959986,0.338330057253576,
-100,1.22464679914735E-14,-7.07106781186548,-7.07106781186548,-7.42800308259152,-6.96757810655171,
-100,1.22464679914735E-14,-1.83697019872103E-15,-10,0.0262207180498887,-10.2305178480782,
-100,1.22464679914735E-14,7.07106781186547,-7.07106781186548,7.23874514814059,-7.3411134682969,
-70.7106781186548,-70.7106781186547,0,0,-0.0506835834664583,0.222973631659482,
-70.7106781186548,-70.7106781186547,5,0,5.12937014280274,0.190014660541291,
-70.7106781186548,-70.7106781186547,3.53553390593274,3.53553390593274,3.58579093283581,3.83198232980312,
-70.7106781186548,-70.7106781186547,3.06161699786838E-16,5,-0.00673830642915492,5.37006836013006,
-70.7106781186548,-70.7106781186547,-3.53553390593274,3.53553390593274,-3.63222662353402,3.94733867535593,
-70.7106781186548,-70.7106781186547,-5,6.12323399573677E-16,-5.21975084373398,0.354809596173524,
-70.7106781186548,-70.7106781186547,-3.53553390593274,-3.53553390593274,-3.54433596273771,-3.33659660980687,
-70.7106781186548,-70.7106781186547,-9.18485099360515E-16,-5,-0.0726562486655364,-4.89665535869374,
