NO_OF_FRAMES	6282
NO_OF_CAMERAS	4
NO_OF_MARKERS	11
FREQUENCY	300
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2024-12-11, 15:41:33.098	68320.78217323
DATA_INCLUDED	3D
MARKER_NAMES	base_1	base_2	base_3	base_4	base_5	base_6					
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured	Measured	Mixed	Mixed	Measured	Measured	Mixed	Measured
Frame	Time	base_1 X	base_1 Y	base_1 Z	base_2 X	base_2 Y	base_2 Z	base_3 X	base_3 Y	base_3 Z	base_4 X	base_4 Y	base_4 Z	base_5 X	base_5 Y	base_5 Z	base_6 X	base_6 Y	base_6 Z	 X	 Y	 Z	 X	 Y	 Z	 X	 Y	 Z	 X	 Y	 Z	 X	 Y	 Z	
29	0.09333	458.925	-658.921	25.090	-401.505	-561.512	28.561	193.425	-491.670	28.527	249.031	-182.045	31.513	-93.220	-143.242	33.244	-239.492	-529.060	33.144	450.915	253.578	819.860	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
30	0.09667	458.930	-658.902	25.099	-401.510	-561.494	28.611	193.439	-491.672	28.691	249.011	-182.001	31.406	-93.246	-143.262	33.313	-239.468	-529.051	33.123	449.432	253.372	837.498	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
31	0.10000	458.941	-658.866	25.150	-401.498	-561.494	28.616	193.438	-491.652	28.722	249.053	-181.970	31.293	-93.286	-143.291	33.339	-239.492	-529.060	33.144	447.982	253.199	855.075	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
32	0.10333	458.943	-658.904	25.102	-401.516	-561.486	28.596	193.431	-491.686	28.645	249.036	-181.912	31.200	-93.235	-143.250	33.295	-239.475	-529.082	33.075	446.508	253.085	872.630	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
33	0.10667	458.924	-658.886	25.283	-401.508	-561.507	28.568	193.436	-491.656	28.643	249.032	-181.939	31.100	-93.240	-143.318	33.309	-239.469	-529.089	33.109	445.186	252.895	890.378	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
34	0.11000	458.888	-658.972	25.673	-401.536	-561.526	28.573	193.446	-491.676	28.693	249.068	-181.908	31.014	-93.273	-143.304	33.368	-239.476	-529.121	33.061	444.173	251.888	909.265	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
35	0.11333	458.866	-659.030	26.015	-401.502	-561.490	28.558	193.459	-491.691	28.695	249.081	-181.914	30.976	-93.261	-143.243	33.447	-239.474	-529.078	33.056	442.648	251.816	926.463	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
36	0.11667	458.814	-659.032	26.019	-401.492	-561.507	28.557	193.426	-491.668	28.504	249.074	-181.833	31.069	-93.257	-143.281	33.424	-239.498	-529.054	33.110	440.999	251.736	943.433	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
37	0.12000	458.714	-658.988	26.292	-401.508	-561.544	28.620	193.445	-491.659	28.616	249.044	-181.867	30.968	-93.227	-143.268	33.358	-239.498	-529.054	33.110	439.398	251.699	960.377	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
38	0.12333	458.628	-659.015	26.335	-401.524	-561.512	28.578	193.442	-491.658	28.632	249.080	-181.869	31.027	-93.256	-143.217	33.314	-239.475	-529.082	33.075	437.763	251.674	977.233	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
