NO_OF_FRAMES	4967
NO_OF_CAMERAS	4
NO_OF_MARKERS	24
FREQUENCY	300
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2024-12-12, 16:25:26.188	56373.87175403
DATA_INCLUDED	3D
MARKER_NAMES	base_1	base_2	base_3	base_4	base_5																			
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Mixed	Measured	Mixed	Measured	Mixed	Measured	Measured	Measured	Measured	Measured	Measured	Measured
Frame	Time	base_1 X	base_1 Y	base_1 Z	base_2 X	base_2 Y	base_2 Z	base_3 X	base_3 Y	base_3 Z	base_4 X	base_4 Y	base_4 Z	base_5 X	base_5 Y	base_5 Z	 X	 Y	 Z	 X	 Y	 Z	 X	 Y	 Z	 X	 Y	 Z	 X	 Y	 Z	 X	 Y	 Z	 X	 Y	 Z	 X	 Y	 Z	 X	 Y	 Z	 X	 Y	 Z	 X	 Y	 Z	 X	 Y	 Z	 X	 Y	 Z	 X	 Y	 Z	 X	 Y	 Z	 X	 Y	 Z	 X	 Y	 Z	 X	 Y	 Z	 X	 Y	 Z	
25	0.08000	228.046	-404.167	-672.673	542.772	-397.718	-680.762	106.245	13.946	-656.780	55.143	118.652	-655.903	534.382	-99.089	-672.152	482.019	731.822	421.183	496.527	389.615	1143.670	607.168	659.464	1542.616	570.962	498.473	823.174	573.643	501.481	1404.279	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
26	0.08333	228.047	-404.185	-672.672	542.748	-397.771	-680.775	106.249	13.947	-656.792	55.174	118.631	-655.872	534.366	-99.059	-672.153	479.794	727.966	416.068	495.793	388.986	1135.127	606.690	661.135	1540.749	571.981	500.171	835.485	573.786	500.707	1409.456	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
27	0.08667	228.089	-404.164	-672.651	542.740	-397.728	-680.732	106.204	13.961	-656.835	55.192	118.660	-655.838	534.300	-99.093	-672.204	477.421	724.076	411.346	495.079	388.348	1126.457	606.254	662.849	1538.732	572.988	501.896	847.730	573.835	499.931	1414.625	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
28	0.09000	228.065	-404.165	-672.657	542.767	-397.715	-680.753	106.224	13.970	-656.749	55.101	118.644	-655.926	534.228	-99.110	-672.290	475.139	720.320	407.084	494.391	387.731	1117.676	605.782	664.555	1536.587	574.030	503.640	859.839	573.853	499.155	1419.620	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
29	0.09333	228.130	-404.175	-672.583	542.739	-397.758	-680.767	106.177	13.949	-656.833	55.124	118.652	-655.909	534.255	-99.096	-672.317	472.794	716.591	403.301	493.669	387.101	1108.816	605.251	666.246	1534.296	575.072	505.352	871.847	573.939	498.464	1424.548	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
30	0.09667	228.044	-404.183	-672.658	542.740	-397.735	-680.755	106.213	13.960	-656.808	55.106	118.660	-655.923	534.137	-99.228	-672.475	470.104	713.133	399.833	493.004	386.466	1099.822	604.795	668.050	1531.988	576.115	507.025	883.718	573.952	497.683	1429.311	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
31	0.10000	228.033	-404.188	-672.637	542.756	-397.728	-680.735	106.204	13.945	-656.816	55.069	118.650	-655.949	534.257	-99.170	-672.358	468.090	709.492	396.895	492.205	385.859	1090.711	604.245	669.812	1529.534	577.154	508.741	895.493	574.021	496.930	1434.054	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
32	0.10333	228.102	-404.176	-672.638	542.741	-397.720	-680.741	106.207	13.957	-656.810	55.146	118.668	-655.861	534.224	-99.172	-672.408	465.928	706.114	394.277	491.529	385.246	1081.522	603.749	671.635	1526.957	578.238	510.409	907.140	574.046	496.151	1438.734	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
33	0.10667	228.125	-404.155	-672.608	542.756	-397.713	-680.806	106.202	13.961	-656.768	55.122	118.637	-655.902	534.296	-99.143	-672.255	463.604	702.943	392.250	490.728	384.653	1072.232	603.169	673.368	1524.268	579.250	512.086	918.644	574.134	495.385	1443.273	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
34	0.11000	228.129	-404.150	-672.613	542.759	-397.749	-680.710	106.232	13.960	-656.786	55.183	118.660	-655.864	534.323	-99.177	-672.250	461.631	699.859	390.660	490.053	384.082	1062.838	602.655	675.146	1521.462	580.299	513.719	930.068	574.220	494.622	1447.645	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
35	0.11333	228.077	-404.140	-672.615	542.750	-397.749	-680.739	106.186	13.927	-656.825	55.141	118.649	-655.887	534.267	-99.194	-672.327	459.854	696.752	389.509	489.366	383.518	1053.437	602.114	676.977	1518.626	581.350	515.403	941.385	574.326	493.886	1451.890	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
36	0.11667	228.068	-404.159	-672.666	542.764	-397.729	-680.767	106.188	13.943	-656.819	55.035	118.714	-655.962	534.203	-99.194	-672.360	458.272	693.887	388.775	488.646	382.914	1043.817	601.565	678.764	1515.612	582.380	517.045	952.561	574.413	493.097	1455.981	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
37	0.12000	228.088	-404.166	-672.701	542.746	-397.715	-680.727	106.235	13.954	-656.772	55.122	118.690	-655.918	534.230	-99.232	-672.433	457.147	691.022	388.264	487.861	382.330	1034.054	601.033	680.508	1512.466	583.405	518.694	963.617	574.528	492.312	1459.844	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
38	0.12333	228.047	-404.195	-672.733	542.807	-397.749	-680.709	106.215	13.928	-656.795	55.145	118.649	-655.886	534.316	-99.214	-672.296	456.142	688.170	388.355	487.165	381.729	1024.251	600.500	682.363	1509.199	584.486	520.368	974.586	574.587	491.638	1463.675	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
39	0.12667	228.079	-404.137	-672.655	542.742	-397.744	-680.754	106.222	13.940	-656.809	55.147	118.637	-655.894	534.231	-99.189	-672.355	455.499	685.321	388.728	486.438	381.197	1014.395	599.961	684.136	1505.836	585.512	521.965	985.444	574.594	490.767	1467.365	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
