NO_OF_FRAMES	3649
NO_OF_CAMERAS	4
NO_OF_MARKERS	12
FREQUENCY	300
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2024-12-11, 14:44:57.047	64924.73091080
DATA_INCLUDED	3D
MARKER_NAMES	base_1	base_2	base_3	base_4	base_5	base_6						
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured
Frame	Time	base_1 X	base_1 Y	base_1 Z	base_2 X	base_2 Y	base_2 Z	base_3 X	base_3 Y	base_3 Z	base_4 X	base_4 Y	base_4 Z	base_5 X	base_5 Y	base_5 Z	base_6 X	base_6 Y	base_6 Z	 X	 Y	 Z	 X	 Y	 Z	 X	 Y	 Z	 X	 Y	 Z	 X	 Y	 Z	 X	 Y	 Z	
42	0.13667	458.407	-658.933	27.033	-401.453	-561.445	28.866	193.377	-491.652	28.908	248.991	-181.846	31.314	-93.219	-143.225	33.575	-239.472	-528.941	33.531	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
43	0.14000	458.366	-658.858	27.121	-401.474	-561.421	28.897	193.389	-491.610	28.965	248.977	-181.857	31.307	-93.260	-143.183	33.700	-239.455	-528.968	33.479	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
44	0.14333	458.353	-658.936	27.049	-401.445	-561.405	28.898	193.390	-491.617	28.977	248.998	-181.826	31.381	-93.254	-143.159	33.628	-239.465	-528.910	33.579	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
45	0.14667	458.355	-658.862	27.131	-401.470	-561.401	28.877	193.408	-491.637	29.045	249.010	-181.821	31.370	-93.267	-143.216	33.596	-239.441	-528.934	33.525	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
46	0.15000	458.415	-658.761	27.116	-401.466	-561.385	28.898	193.380	-491.631	28.867	248.987	-181.849	31.317	-93.257	-143.178	33.646	-239.464	-528.901	33.543	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
47	0.15333	458.353	-658.914	27.030	-401.450	-561.413	28.891	193.396	-491.614	28.967	249.006	-181.823	31.350	-93.220	-143.199	33.611	-239.472	-528.942	33.531	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
48	0.15667	458.357	-658.897	27.039	-401.473	-561.415	28.864	193.380	-491.633	28.927	248.986	-181.840	31.283	-93.254	-143.191	33.650	-239.441	-528.934	33.525	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
49	0.16000	458.366	-658.950	27.113	-401.498	-561.441	28.877	193.378	-491.608	28.937	249.001	-181.824	31.347	-93.249	-143.195	33.665	-239.435	-528.931	33.523	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
50	0.16333	458.338	-658.874	27.117	-401.456	-561.417	28.881	193.410	-491.624	29.022	249.002	-181.821	31.326	-93.214	-143.160	33.470	-239.448	-528.971	33.496	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
51	0.16667	458.378	-658.881	27.106	-401.474	-561.402	28.900	193.401	-491.618	29.004	249.016	-181.825	31.376	-93.234	-143.154	33.633	-239.466	-528.944	33.547	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
52	0.17000	458.364	-658.829	27.032	-401.440	-561.384	28.894	193.394	-491.613	28.975	248.979	-181.862	31.298	-93.258	-143.202	33.696	-239.466	-528.944	33.547	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
53	0.17333	458.346	-658.897	27.124	-401.470	-561.411	28.911	193.397	-491.641	28.991	248.991	-181.869	31.338	-93.236	-143.172	33.646	-239.472	-528.941	33.531	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
54	0.17667	458.350	-658.850	27.141	-401.457	-561.393	28.923	193.388	-491.639	28.955	248.985	-181.867	31.328	-93.246	-143.210	33.561	-239.495	-528.913	33.566	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
55	0.18000	458.344	-658.875	27.121	-401.475	-561.412	28.886	193.396	-491.619	28.980	249.010	-181.811	31.380	-93.207	-143.243	33.652	-239.470	-528.903	33.545	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
56	0.18333	458.375	-658.945	27.000	-401.475	-561.447	28.867	193.396	-491.620	29.010	249.007	-181.809	31.390	-93.272	-143.232	33.658	-239.487	-528.877	33.597	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
57	0.18667	458.376	-658.882	27.071	-401.481	-561.420	28.900	193.402	-491.643	28.986	249.007	-181.850	31.313	-93.268	-143.181	33.700	-239.472	-528.942	33.531	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
58	0.19000	458.372	-658.937	26.960	-401.451	-561.395	28.894	193.395	-491.666	28.919	249.011	-181.809	31.359	-93.250	-143.127	33.628	-239.465	-528.905	33.560	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
59	0.19333	458.364	-658.923	27.109	-401.477	-561.460	28.871	193.397	-491.665	28.997	249.007	-181.848	31.324	-93.268	-143.193	33.657	-239.447	-528.931	33.509	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
60	0.19667	458.402	-658.907	27.050	-401.488	-561.390	28.907	193.409	-491.596	28.986	248.999	-181.817	31.400	-93.223	-143.172	33.624	-239.464	-528.906	33.561	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
61	0.20000	458.351	-658.851	27.093	-401.463	-561.392	28.923	193.393	-491.637	28.968	248.990	-181.852	31.341	-93.266	-143.170	33.738	-239.472	-528.937	33.512	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
62	0.20333	458.369	-658.846	27.055	-401.446	-561.388	28.912	193.387	-491.636	28.996	248.988	-181.822	31.346	-93.257	-143.207	33.595	-239.472	-528.942	33.531	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
63	0.20667	458.370	-658.874	27.083	-401.449	-561.397	28.915	193.392	-491.638	28.985	249.008	-181.830	31.402	-93.259	-143.171	33.719	-239.486	-528.838	33.610	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
64	0.21000	458.340	-658.859	27.027	-401.478	-561.375	28.894	193.410	-491.630	29.057	249.000	-181.829	31.383	-93.292	-143.254	33.583	-239.472	-528.942	33.531	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
65	0.21333	458.334	-658.898	27.170	-401.468	-561.428	28.876	193.389	-491.659	28.939	248.997	-181.845	31.285	-93.231	-143.237	33.607	-239.464	-528.906	33.561	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
66	0.21667	458.380	-658.850	27.041	-401.485	-561.413	28.875	193.435	-491.626	29.076	248.989	-181.804	31.383	-93.255	-143.210	33.693	-239.495	-528.913	33.566	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
